Components,Dec_21,Mar_22,Jun_22,Sep_22,Dec_22
Accounts payable,3,71,248,383,629
Accrued expenses,0,406,421,406,2084
Interest payable,0,154,334,365,411
Total current liabilities,3,631,1003,1154,3124
MakerDAO,0,20970,6199,19199,12199
Unit.xyz,0,4000,0,0,0
Long term liabilities,0,24970,6199,19199,12199
Total liabilities,3,25601,7202,20353,15323
Total liabilities and equity,2036,173429,151147,159274,186532
